transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,channel,gender,age,city,customer_segment,signup_date,value_segment,year_month
TXN500000,CUST100367,23-11-2023,279.36,Credit Card,Mobile App,Female,41,Delhi,Mid Value,05-01-2024,High Value,2023-11
TXN500001,CUST100558,31-07-2023,2375.96,Net Banking,Website,Female,48,Delhi,Mid Value,29-09-2022,High Value,2023-07
TXN500002,CUST101669,05-11-2023,1872.03,UPI,Mobile App,Female,34,Chennai,Low Value,05-05-2022,High Value,2023-11
TXN500003,CUST100107,18-04-2023,5542.35,Credit Card,Mobile App,Female,35,Hyderabad,Mid Value,05-02-2023,Mid Value,2023-04
TXN500004,CUST100583,26-06-2023,722.12,Debit Card,Mobile App,Female,34,Chennai,Low Value,25-11-2022,Mid Value,2023-06
TXN500005,CUST100838,02-03-2024,200,UPI,Mobile App,Female,23,Delhi,High Value,28-08-2022,Mid Value,2024-03
TXN500006,CUST100417,14-06-2024,646.85,Credit Card,Website,Female,31,Chennai,High Value,25-05-2022,Low Value,2024-06
TXN500007,CUST101643,22-02-2024,1228.6,Wallet,Mobile App,Female,35,Mumbai,Low Value,29-05-2023,Low Value,2024-02
TXN500008,CUST100820,05-09-2023,371.68,Credit Card,Website,Male,62,Pune,Mid Value,22-10-2024,Mid Value,2023-09
TXN500009,CUST101421,28-07-2023,8577.49,Debit Card,Mobile App,Male,52,Delhi,Mid Value,16-01-2024,Mid Value,2023-07
TXN500010,CUST101295,04-08-2023,553.37,Credit Card,Mobile App,Female,41,Pune,Mid Value,26-06-2023,High Value,2023-08
TXN500011,CUST100682,13-12-2024,2492.1,Net Banking,Mobile App,Male,46,Hyderabad,Mid Value,23-09-2023,Low Value,2024-12
TXN500012,CUST101139,13-03-2024,1331.75,Credit Card,Website,Male,25,Bengaluru,Low Value,31-12-2024,Low Value,2024-03
TXN500013,CUST101864,09-09-2024,1782.03,Credit Card,Mobile App,Female,34,Delhi,Mid Value,21-01-2024,Mid Value,2024-09
TXN500014,CUST101609,07-11-2023,5936.26,UPI,Mobile App,Male,55,Delhi,Mid Value,24-10-2022,Mid Value,2023-11
TXN500015,CUST100255,18-01-2024,1668.34,UPI,Website,Male,49,Delhi,Mid Value,26-09-2023,Low Value,2024-01
TXN500016,CUST101104,28-09-2023,801.17,Debit Card,Website,Female,28,Mumbai,Mid Value,28-11-2024,Mid Value,2023-09
TXN500017,CUST100779,01-05-2023,548.91,UPI,Website,Male,46,Mumbai,Mid Value,08-11-2023,Low Value,2023-05
TXN500018,CUST101151,11-02-2024,4896.23,Debit Card,Website,Male,45,Mumbai,Mid Value,01-05-2023,Mid Value,2024-02
TXN500019,CUST100837,02-09-2023,9508.13,UPI,Mobile App,Male,56,Pune,High Value,31-12-2023,Mid Value,2023-09
TXN500020,CUST100914,07-03-2023,638.28,Credit Card,Mobile App,Female,34,Mumbai,Low Value,08-01-2024,Low Value,2023-03
TXN500021,CUST100234,16-08-2023,2815.77,Credit Card,Mobile App,Female,33,Bengaluru,Mid Value,07-11-2022,Low Value,2023-08
TXN500022,CUST100552,17-05-2023,1550.38,UPI,Website,Male,40,Chennai,Low Value,02-02-2022,Low Value,2023-05
TXN500023,CUST100180,13-07-2023,2638.37,Debit Card,Website,Male,26,Hyderabad,High Value,20-02-2022,Mid Value,2023-07
TXN500024,CUST100156,06-12-2024,7326.47,UPI,Mobile App,Male,61,Pune,Mid Value,24-03-2023,High Value,2024-12
TXN500025,CUST101477,19-10-2024,710.78,UPI,Mobile App,Female,32,Mumbai,Mid Value,08-10-2023,Mid Value,2024-10
TXN500026,CUST100570,18-10-2024,2963.1,Credit Card,Mobile App,Female,34,Mumbai,Low Value,01-01-2024,High Value,2024-10
TXN500027,CUST100856,03-05-2024,1267.55,Debit Card,Website,Male,23,Hyderabad,Mid Value,18-03-2023,Mid Value,2024-05
TXN500028,CUST101784,06-08-2024,2325.6,Wallet,Mobile App,Male,21,Hyderabad,Low Value,18-05-2022,High Value,2024-08
TXN500029,CUST101727,20-12-2023,1148.34,Debit Card,Mobile App,Male,53,Hyderabad,High Value,27-11-2022,Mid Value,2023-12
TXN500030,CUST101047,04-12-2024,2710.74,Credit Card,Mobile App,Male,27,Pune,High Value,25-10-2023,Mid Value,2024-12
TXN500031,CUST101496,09-07-2024,905.82,UPI,Mobile App,Female,34,Mumbai,High Value,24-10-2024,Low Value,2024-07
TXN500032,CUST101423,06-06-2023,1474.27,UPI,Mobile App,Male,40,Pune,Mid Value,21-11-2022,Low Value,2023-06
TXN500033,CUST100947,20-04-2024,2714.19,UPI,Website,Female,50,Mumbai,Low Value,02-05-2022,High Value,2024-04
TXN500034,CUST100591,16-01-2023,200,UPI,Mobile App,Female,49,Hyderabad,Mid Value,14-04-2023,High Value,2023-01
TXN500035,CUST100133,19-03-2023,874.79,UPI,Website,Male,25,Hyderabad,High Value,02-10-2022,Low Value,2023-03
TXN500036,CUST100420,21-02-2023,1738.14,UPI,Mobile App,Female,29,Pune,Mid Value,23-01-2024,Mid Value,2023-02
TXN500037,CUST100212,28-05-2024,200,UPI,Mobile App,Male,27,Mumbai,High Value,23-08-2023,High Value,2024-05
TXN500038,CUST100899,18-05-2024,2672.01,UPI,Mobile App,Male,21,Bengaluru,Mid Value,04-07-2024,Mid Value,2024-05
TXN500039,CUST100481,02-03-2023,3692,UPI,Website,Female,48,Mumbai,Mid Value,24-10-2024,Mid Value,2023-03
TXN500040,CUST100347,12-05-2023,392.31,Credit Card,Website,Female,40,Chennai,High Value,01-10-2023,Mid Value,2023-05
TXN500041,CUST100165,17-01-2024,2908.93,Wallet,Mobile App,Male,62,Delhi,Low Value,29-08-2024,Mid Value,2024-01
TXN500042,CUST100936,17-07-2024,2285.85,Wallet,Mobile App,Female,42,Delhi,High Value,17-01-2022,High Value,2024-07
TXN500043,CUST100347,22-11-2024,1164.07,Credit Card,Website,Female,40,Chennai,High Value,01-10-2023,Mid Value,2024-11
TXN500044,CUST100848,26-06-2024,396.68,Wallet,Website,Male,25,Bengaluru,Low Value,22-07-2023,Mid Value,2024-06
TXN500045,CUST100397,14-02-2024,6816.47,Debit Card,Mobile App,Female,22,Delhi,Mid Value,30-06-2024,Mid Value,2024-02
TXN500046,CUST100582,04-06-2023,1372.01,Credit Card,Mobile App,Female,53,Bengaluru,Mid Value,17-03-2022,High Value,2023-06
TXN500047,CUST100725,24-09-2024,446.39,UPI,Mobile App,Male,42,Hyderabad,Low Value,19-12-2022,High Value,2024-09
TXN500048,CUST101458,20-02-2023,2786.15,UPI,Mobile App,Female,59,Mumbai,Low Value,18-12-2023,High Value,2023-02
TXN500049,CUST101600,05-04-2023,2059.71,UPI,Website,Female,32,Pune,Low Value,24-02-2022,Mid Value,2023-04
TXN500050,CUST101244,18-11-2024,3726.57,UPI,Website,Male,28,Chennai,Low Value,14-08-2022,Mid Value,2024-11
TXN500051,CUST100307,06-06-2024,12201.06,UPI,Mobile App,Female,47,Mumbai,Low Value,04-02-2024,High Value,2024-06
TXN500052,CUST100990,07-06-2024,200,UPI,Website,Female,32,Chennai,High Value,20-04-2024,High Value,2024-06
TXN500053,CUST100797,21-12-2023,2957.78,Credit Card,Mobile App,Male,54,Mumbai,Low Value,21-11-2022,Mid Value,2023-12
TXN500054,CUST101720,14-02-2023,9948.03,Credit Card,Website,Female,41,Pune,Mid Value,26-08-2024,Mid Value,2023-02
TXN500055,CUST100718,24-07-2023,1699.92,UPI,Website,Female,45,Mumbai,High Value,28-02-2024,Mid Value,2023-07
TXN500056,CUST100465,31-12-2024,2767.01,Debit Card,Mobile App,Male,23,Delhi,Mid Value,19-01-2022,High Value,2024-12
TXN500057,CUST100098,06-03-2024,1279.97,Credit Card,Website,Female,34,Pune,High Value,26-04-2023,Mid Value,2024-03
TXN500058,CUST101265,13-09-2023,970.77,UPI,Mobile App,Male,47,Delhi,High Value,17-09-2022,Low Value,2023-09
TXN500059,CUST100157,05-09-2023,2622.92,Debit Card,Mobile App,Female,23,Mumbai,High Value,22-07-2022,Mid Value,2023-09
TXN500060,CUST100609,16-06-2024,9746.72,Wallet,Website,Female,25,Hyderabad,Mid Value,21-06-2023,Mid Value,2024-06
TXN500061,CUST100553,10-02-2023,211.52,Net Banking,Website,Female,28,Mumbai,Low Value,12-07-2023,Low Value,2023-02
TXN500062,CUST100650,03-04-2024,1206.46,Credit Card,Mobile App,Male,54,Delhi,Mid Value,12-12-2022,High Value,2024-04
TXN500063,CUST101818,04-10-2023,6212.31,Credit Card,Mobile App,Female,21,Mumbai,High Value,09-10-2022,High Value,2023-10
TXN500064,CUST100919,14-07-2023,263.3,UPI,Website,Female,61,Hyderabad,Low Value,23-06-2023,Mid Value,2023-07
